Date,Bilt,DateHoogeveen,Hoogeveen,DateVlissingen,Vlissingen
01-01-00,61,01-01-00,46,01-01-00,67
02-01-00,73,02-01-00,61,02-01-00,70
03-01-00,84,03-01-00,80,03-01-00,83
04-01-00,64,04-01-00,53,04-01-00,69
05-01-00,44,05-01-00,38,05-01-00,55
06-01-00,72,06-01-00,66,06-01-00,71
07-01-00,61,07-01-00,61,07-01-00,60
08-01-00,54,08-01-00,54,08-01-00,62
09-01-00,8,09-01-00,18,09-01-00,46
10-01-00,-8,10-01-00,-11,10-01-00,37
11-01-00,21,11-01-00,13,11-01-00,26
12-01-00,7,12-01-00,9,12-01-00,6
13-01-00,20,13-01-00,14,13-01-00,19
14-01-00,29,14-01-00,22,14-01-00,44
15-01-00,32,15-01-00,26,15-01-00,39
16-01-00,54,16-01-00,55,16-01-00,55
17-01-00,64,17-01-00,69,17-01-00,66
18-01-00,66,18-01-00,63,18-01-00,71
19-01-00,39,19-01-00,36,19-01-00,50
20-01-00,52,20-01-00,50,20-01-00,54
21-01-00,52,21-01-00,50,21-01-00,59
22-01-00,47,22-01-00,41,22-01-00,56
23-01-00,11,23-01-00,-9,23-01-00,36
24-01-00,-28,24-01-00,-29,24-01-00,0
25-01-00,5,25-01-00,-4,25-01-00,11
26-01-00,24,26-01-00,27,26-01-00,18
27-01-00,24,27-01-00,25,27-01-00,13
28-01-00,32,28-01-00,34,28-01-00,32
29-01-00,90,29-01-00,80,29-01-00,82
30-01-00,91,30-01-00,76,30-01-00,79
31-01-00,97,31-01-00,94,31-01-00,86
01-02-00,90,01-02-00,87,01-02-00,80
02-02-00,74,02-02-00,71,02-02-00,71
03-02-00,64,03-02-00,61,03-02-00,65
04-02-00,76,04-02-00,70,04-02-00,72
05-02-00,84,05-02-00,82,05-02-00,70
06-02-00,76,06-02-00,72,06-02-00,72
07-02-00,79,07-02-00,75,07-02-00,76
08-02-00,86,08-02-00,78,08-02-00,84
09-02-00,65,09-02-00,58,09-02-00,69
10-02-00,58,10-02-00,57,10-02-00,63
11-02-00,46,11-02-00,46,11-02-00,55
12-02-00,45,12-02-00,35,12-02-00,56
13-02-00,52,13-02-00,47,13-02-00,64
14-02-00,45,14-02-00,43,14-02-00,54
15-02-00,66,15-02-00,59,15-02-00,67
16-02-00,37,16-02-00,26,16-02-00,51
17-02-00,36,17-02-00,20,17-02-00,45
18-02-00,49,18-02-00,34,18-02-00,64
19-02-00,48,19-02-00,38,19-02-00,56
20-02-00,22,20-02-00,23,20-02-00,44
21-02-00,22,21-02-00,18,21-02-00,39
22-02-00,28,22-02-00,37,22-02-00,37
23-02-00,51,23-02-00,31,23-02-00,64
24-02-00,78,24-02-00,68,24-02-00,77
25-02-00,54,25-02-00,42,25-02-00,60
26-02-00,34,26-02-00,43,26-02-00,52
27-02-00,76,27-02-00,63,27-02-00,78
28-02-00,92,28-02-00,83,28-02-00,84
29-02-00,65,29-02-00,63,29-02-00,68
01-03-00,53,01-03-00,50,01-03-00,59
02-03-00,49,02-03-00,41,02-03-00,62
03-03-00,69,03-03-00,66,03-03-00,71
04-03-00,19,04-03-00,11,04-03-00,37
05-03-00,32,05-03-00,25,05-03-00,54
06-03-00,63,06-03-00,61,06-03-00,65
07-03-00,96,07-03-00,95,07-03-00,89
08-03-00,111,08-03-00,109,08-03-00,95
09-03-00,107,09-03-00,94,09-03-00,94
10-03-00,65,10-03-00,59,10-03-00,82
11-03-00,87,11-03-00,80,11-03-00,87
12-03-00,77,12-03-00,75,12-03-00,83
13-03-00,77,13-03-00,76,13-03-00,77
14-03-00,78,14-03-00,70,14-03-00,83
15-03-00,60,15-03-00,50,15-03-00,68
16-03-00,80,16-03-00,72,16-03-00,81
17-03-00,82,17-03-00,78,17-03-00,79
18-03-00,70,18-03-00,64,18-03-00,73
19-03-00,58,19-03-00,54,19-03-00,64
20-03-00,51,20-03-00,51,20-03-00,60
21-03-00,60,21-03-00,73,21-03-00,59
22-03-00,72,22-03-00,73,22-03-00,79
23-03-00,72,23-03-00,60,23-03-00,99
24-03-00,88,24-03-00,76,24-03-00,91
25-03-00,86,25-03-00,83,25-03-00,87
26-03-00,63,26-03-00,63,26-03-00,68
27-03-00,56,27-03-00,54,27-03-00,61
28-03-00,41,28-03-00,40,28-03-00,49
29-03-00,59,29-03-00,54,29-03-00,62
30-03-00,65,30-03-00,59,30-03-00,69
31-03-00,61,31-03-00,59,31-03-00,66
01-04-00,62,01-04-00,57,01-04-00,73
02-04-00,100,02-04-00,79,02-04-00,97
