Date,Bilt,Hoogeveen,Vlissingen
01-01-05,69,63,77
02-01-05,64,53,68
03-01-05,75,66,71
04-01-05,76,80,75
05-01-05,59,53,62
06-01-05,77,69,77
07-01-05,112,110,105
08-01-05,91,88,86
09-01-05,75,71,79
10-01-05,113,113,102
11-01-05,101,95,93
12-01-05,79,74,80
13-01-05,56,46,69
14-01-05,29,21,37
15-01-05,3,-3,30
16-01-05,12,4,31
17-01-05,63,53,71
18-01-05,47,36,59
19-01-05,55,43,66
20-01-05,96,84,92
21-01-05,58,42,66
22-01-05,39,36,51
23-01-05,16,11,38
24-01-05,6,-5,22
25-01-05,-3,-14,10
26-01-05,-8,-17,3
27-01-05,13,0,29
28-01-05,20,-1,44
29-01-05,12,-5,31
30-01-05,59,53,64
31-01-05,65,55,68
01-02-05,46,41,60
02-02-05,62,61,67
03-02-05,65,63,69
04-02-05,55,56,52
05-02-05,23,16,34
06-02-05,25,8,48
07-02-05,-8,-10,16
08-02-05,-4,-10,37
09-02-05,52,33,61
10-02-05,74,64,80
11-02-05,66,42,71
12-02-05,81,64,86
13-02-05,35,31,50
14-02-05,36,19,46
15-02-05,17,5,27
16-02-05,0,-7,11
17-02-05,6,-2,17
18-02-05,18,6,34
19-02-05,24,27,37
20-02-05,22,18,32
21-02-05,18,17,17
22-02-05,2,-4,11
23-02-05,-3,-4,5
24-02-05,0,-2,6
25-02-05,0,4,2
26-02-05,12,1,20
27-02-05,-24,-35,-13
28-02-05,-31,-28,-19
01-03-05,-13,-22,-6
02-03-05,-7,-17,-2
03-03-05,-24,-47,-12
04-03-05,-55,-87,-12
05-03-05,-16,-38,15
06-03-05,-11,-44,7
07-03-05,35,22,46
08-03-05,49,29,51
09-03-05,44,29,51
10-03-05,27,8,38
11-03-05,45,37,44
12-03-05,36,28,45
13-03-05,45,27,43
14-03-05,40,37,44
15-03-05,81,74,72
16-03-05,139,129,107
17-03-05,111,110,90
18-03-05,94,88,68
19-03-05,95,71,84
20-03-05,78,45,97
21-03-05,99,62,95
22-03-05,122,99,98
23-03-05,121,110,112
24-03-05,128,126,95
25-03-05,104,110,81
26-03-05,108,102,94
27-03-05,116,104,90
28-03-05,104,101,70
29-03-05,104,90,92
30-03-05,118,95,98
31-03-05,111,81,106
01-04-05,102,82,119
02-04-05,108,97,114
03-04-05,138,119,124
04-04-05,118,124,103
05-04-05,90,84,83
06-04-05,88,84,90
07-04-05,91,88,85
08-04-05,64,63,60
09-04-05,48,42,56
10-04-05,78,78,84
11-04-05,104,102,105
12-04-05,99,96,98
13-04-05,105,102,102
14-04-05,124,122,101
15-04-05,107,127,73
16-04-05,78,110,70
17-04-05,116,108,73
18-04-05,105,110,90
19-04-05,86,77,86
20-04-05,88,78,76
21-04-05,83,65,89
22-04-05,89,73,109
23-04-05,112,100,112
24-04-05,126,117,138
25-04-05,127,106,117
26-04-05,106,110,111
27-04-05,114,102,109
28-04-05,129,123,126
29-04-05,142,129,130
30-04-05,151,137,160
01-05-05,196,179,164
02-05-05,151,158,135
03-05-05,138,127,132
04-05-05,118,110,104
05-05-05,98,91,99
06-05-05,104,93,118
07-05-05,85,70,98
08-05-05,77,67,93
09-05-05,79,78,86
10-05-05,80,80,84
11-05-05,82,77,88
12-05-05,89,78,105
13-05-05,118,105,122
