Date,Bilt,Hoogeveen,Vlissingen
01-01-00,61,46,67
02-01-00,73,61,70
03-01-00,84,80,83
04-01-00,64,53,69
05-01-00,44,38,55
06-01-00,72,66,71
07-01-00,61,61,60
08-01-00,54,54,62
09-01-00,8,18,46
10-01-00,-8,-11,37
11-01-00,21,13,26
12-01-00,7,9,6
13-01-00,20,14,19
14-01-00,29,22,44
15-01-00,32,26,39
16-01-00,54,55,55
17-01-00,64,69,66
18-01-00,66,63,71
19-01-00,39,36,50
20-01-00,52,50,54
21-01-00,52,50,59
22-01-00,47,41,56
23-01-00,11,-9,36
24-01-00,-28,-29,0
25-01-00,5,-4,11
26-01-00,24,27,18
27-01-00,24,25,13
28-01-00,32,34,32
29-01-00,90,80,82
30-01-00,91,76,79
31-01-00,97,94,86
01-02-00,90,87,80
02-02-00,74,71,71
03-02-00,64,61,65
04-02-00,76,70,72
05-02-00,84,82,70
06-02-00,76,72,72
07-02-00,79,75,76
08-02-00,86,78,84
09-02-00,65,58,69
10-02-00,58,57,63
11-02-00,46,46,55
12-02-00,45,35,56
13-02-00,52,47,64
14-02-00,45,43,54
15-02-00,66,59,67
16-02-00,37,26,51
17-02-00,36,20,45
18-02-00,49,34,64
19-02-00,48,38,56
20-02-00,22,23,44
21-02-00,22,18,39
22-02-00,28,37,37
23-02-00,51,31,64
24-02-00,78,68,77
25-02-00,54,42,60
26-02-00,34,43,52
27-02-00,76,63,78
28-02-00,92,83,84
29-02-00,65,63,68
01-03-00,53,50,59
02-03-00,49,41,62
03-03-00,69,66,71
04-03-00,19,11,37
05-03-00,32,25,54
06-03-00,63,61,65
07-03-00,96,95,89
08-03-00,111,109,95
09-03-00,107,94,94
10-03-00,65,59,82
11-03-00,87,80,87
12-03-00,77,75,83
13-03-00,77,76,77
14-03-00,78,70,83
15-03-00,60,50,68
16-03-00,80,72,81
17-03-00,82,78,79
18-03-00,70,64,73
19-03-00,58,54,64
20-03-00,51,51,60
21-03-00,60,73,59
22-03-00,72,73,79
23-03-00,72,60,99
24-03-00,88,76,91
25-03-00,86,83,87
26-03-00,63,63,68
27-03-00,56,54,61
28-03-00,41,40,49
29-03-00,59,54,62
30-03-00,65,59,69
31-03-00,61,59,66
01-04-00,62,57,73
02-04-00,100,79,97
03-04-00,119,115,109
04-04-00,101,96,81
05-04-00,48,37,55
06-04-00,48,47,59
07-04-00,55,61,72
08-04-00,66,53,89
09-04-00,93,71,106
10-04-00,59,39,72
11-04-00,61,61,67
12-04-00,62,62,59
13-04-00,59,57,60
14-04-00,69,60,74
15-04-00,89,82,81
16-04-00,93,83,89
17-04-00,107,99,97
18-04-00,106,102,102
19-04-00,119,120,110
20-04-00,134,136,115
21-04-00,137,140,124
22-04-00,133,141,119
23-04-00,111,123,103
24-04-00,113,107,111
25-04-00,149,132,134
26-04-00,149,153,128
27-04-00,152,159,126
28-04-00,158,181,129
29-04-00,119,128,114
30-04-00,125,122,126
01-05-00,128,116,118
02-05-00,104,103,100
03-05-00,120,117,98
04-05-00,134,132,111
05-05-00,181,164,168
06-05-00,201,182,180
07-05-00,192,187,167
08-05-00,193,184,179
09-05-00,196,183,190
10-05-00,198,193,182
11-05-00,184,162,166
12-05-00,189,161,160
13-05-00,181,164,161
14-05-00,192,191,182
15-05-00,208,210,201
16-05-00,202,213,179
17-05-00,137,141,129
18-05-00,114,115,118
19-05-00,103,99,112
20-05-00,108,103,124
21-05-00,100,96,113
22-05-00,114,119,129
23-05-00,138,135,143
24-05-00,140,138,141
25-05-00,132,130,131
26-05-00,136,134,139
27-05-00,124,125,122
28-05-00,94,100,107
29-05-00,101,102,119
30-05-00,98,106,119
31-05-00,125,126,140
01-06-00,151,148,151
02-06-00,164,161,153
03-06-00,181,159,175
04-06-00,167,170,151
05-06-00,123,133,127
06-06-00,128,117,139
07-06-00,123,120,140
08-06-00,155,143,173
09-06-00,212,213,187
10-06-00,166,182,148
11-06-00,148,151,141
12-06-00,162,163,154
13-06-00,169,166,160
14-06-00,172,156,166
15-06-00,151,141,160
16-06-00,132,117,154
17-06-00,149,136,175
18-06-00,211,198,213
19-06-00,257,241,231
20-06-00,259,255,225
21-06-00,205,209,189
22-06-00,163,154,167
23-06-00,151,148,154
24-06-00,135,133,137
25-06-00,127,124,134
26-06-00,124,117,135
27-06-00,123,126,142
28-06-00,124,122,138
29-06-00,132,116,127
30-06-00,137,126,147
01-07-00,136,126,162
02-07-00,190,180,186
03-07-00,194,183,184
04-07-00,176,176,168
05-07-00,158,157,159
06-07-00,165,148,167
07-07-00,140,126,147
08-07-00,127,127,147
09-07-00,138,133,149
10-07-00,152,142,151
11-07-00,133,134,133
12-07-00,139,125,148
13-07-00,145,135,156
14-07-00,132,132,143
15-07-00,128,127,138
16-07-00,142,138,134
17-07-00,136,134,137
18-07-00,140,124,145
19-07-00,161,150,170
20-07-00,163,160,181
21-07-00,146,150,148
22-07-00,151,164,153
23-07-00,165,163,166
24-07-00,184,175,175
25-07-00,170,173,150
26-07-00,155,158,159
27-07-00,165,162,168
28-07-00,170,154,168
29-07-00,159,156,171
30-07-00,168,161,170
31-07-00,183,171,183
01-08-00,210,203,204
02-08-00,182,176,174
03-08-00,173,166,167
04-08-00,165,157,168
05-08-00,166,153,174
06-08-00,175,173,183
07-08-00,186,161,188
08-08-00,173,152,186
09-08-00,184,163,195
10-08-00,187,179,187
11-08-00,189,175,186
12-08-00,176,172,203
13-08-00,217,195,221
14-08-00,217,213,206
15-08-00,182,191,184
16-08-00,183,171,187
17-08-00,179,177,183
18-08-00,176,170,186
19-08-00,186,180,188
20-08-00,175,173,179
21-08-00,156,150,162
22-08-00,153,149,166
23-08-00,155,136,178
24-08-00,156,142,175
25-08-00,163,165,187
26-08-00,195,181,192
27-08-00,167,168,178
28-08-00,144,150,161
29-08-00,146,143,168
30-08-00,139,134,164
31-08-00,144,138,172
01-09-00,157,136,168
02-09-00,145,145,154
03-09-00,149,139,154
04-09-00,138,130,147
05-09-00,154,150,160
06-09-00,151,139,163
07-09-00,159,150,159
08-09-00,174,161,180
09-09-00,173,151,178
10-09-00,170,166,192
11-09-00,184,166,202
12-09-00,176,175,179
13-09-00,160,152,172
14-09-00,152,158,174
