Country,Income
Aruba,-1
Afghanistan,1900
Angola,6220
Albania,11880
Andorra,-1
United Arab Emirates,72850
Argentina,19480
Armenia,9000
American Samoa,-1
Antigua and Barbuda,21840
Australia,45970
Austria,49990
Azerbaijan,16130
Burundi,770
Belgium,46010
Benin,2170
Burkina Faso,1680
Bangladesh,3790
Bulgaria,19020
Bahrain,-1
"Bahamas, The",22090
Bosnia and Herzegovina,12140
Belarus,17210
Belize,8000
Bermuda,-1
Bolivia,7090
Brazil,14810
Barbados,16070
Brunei Darussalam,-1
Bhutan,8070
Botswana,16380
Central African Republic,700
Canada,43420
Switzerland,63660
Channel Islands,-1
Chile,23270
China,15500
Cote d'Ivoire,3610
Cameroon,3250
"Congo, Dem. Rep.",730
"Congo, Rep.",5380
Colombia,13910
Comoros,1520
Cabo Verde,6220
Costa Rica,15750
Cuba,-1
Curacao,-1
Cayman Islands,-1
Cyprus,31420
Czech Republic,32710
Germany,49530
Djibouti,-1
Dominica,10610
Denmark,51040
Dominican Republic,14480
Algeria,14720
Ecuador,11070
"Egypt, Arab Rep.",11110
Eritrea,-1
Spain,36340
Estonia,28920
Ethiopia,1730
Finland,43400
Fiji,9140
France,42380
Faroe Islands,-1
"Micronesia, Fed. Sts.",4330
Gabon,16720
United Kingdom,42100
Georgia,9450
Ghana,4150
Gibraltar,-1
Guinea,1200
"Gambia, The",1640
Guinea-Bissau,1580
Equatorial Guinea,17020
Greece,26900
Grenada,13440
Greenland,-1
Guatemala,7750
Guam,-1
Guyana,7860
"Hong Kong SAR, China",60530
Honduras,4410
Croatia,22880
Haiti,1790
Hungary,25640
Indonesia,11220
Isle of Man,-1
India,6490
Ireland,56870
"Iran, Islamic Rep.",-1
Iraq,17240
Iceland,52490
Israel,37400
Italy,38230
Jamaica,8500
Jordan,8980
Japan,42870
Kazakhstan,22910
Kenya,3130
Kyrgyz Republic,3410
Cambodia,3510
Kiribati,3240
St. Kitts and Nevis,25940
"Korea, Rep.",35790
Kuwait,-1
Lao PDR,5920
Lebanon,13860
Liberia,700
Libya,-1
St. Lucia,11370
Liechtenstein,-1
Sri Lanka,11970
Lesotho,3390
Lithuania,28840
Luxembourg,75750
Latvia,26090
"Macao SAR, China",-1
St. Martin (French part),-1
Morocco,7700
Monaco,-1
Moldova,5670
Madagascar,1440
Maldives,11970
Mexico,17740
Marshall Islands,5280
"Macedonia, FYR",14480
Mali,2040
Malta,35720
Myanmar,-1
Montenegro,17090
Mongolia,11290
Northern Mariana Islands,-1
Mozambique,1190
Mauritania,3760
Mauritius,20980
Malawi,1140
Malaysia,26900
Namibia,10550
New Caledonia,-1
Niger,970
Nigeria,5740
Nicaragua,5390
Netherlands,50320
Norway,62510
Nepal,2520
Nauru,17520
New Zealand,37860
Oman,-1
Pakistan,5580
Panama,20990
Peru,12480
Philippines,9400
Palau,14740
Papua New Guinea,-1
Poland,26770
Puerto Rico,-1
"Korea, Dem. People’s Rep.",-1
Portugal,29990
Paraguay,9060
West Bank and Gaza,-1
French Polynesia,-1
Qatar,-1
Romania,22950
Russian Federation,22540
Rwanda,1870
Saudi Arabia,55760
Sudan,4290
Senegal,2480
Singapore,85050
Solomon Islands,2150
Sierra Leone,1320
El Salvador,8220
San Marino,-1
Somalia,-1
Serbia,13680
South Sudan,-1
Sao Tome and Principe,3240
Suriname,13720
Slovak Republic,29910
Slovenia,32360
Sweden,50000
Swaziland,7980
Sint Maarten (Dutch part),-1
Seychelles,28390
Syrian Arab Republic,-1
Turks and Caicos Islands,-1
Chad,1950
Togo,1370
Thailand,16070
Tajikistan,3500
Turkmenistan,16060
Timor-Leste,-1
Tonga,5760
Trinidad and Tobago,30810
Tunisia,11150
Turkey,23990
Tuvalu,5920
Tanzania,2740
Uganda,1820
Ukraine,8190
Uruguay,21090
United States,58030
Uzbekistan,6640
St. Vincent and the Grenadines,11530
"Venezuela, RB",-1
British Virgin Islands,-1
Virgin Islands (U.S.),-1
Vietnam,6050
Vanuatu,-1
Samoa,6200
Kosovo,10200
"Yemen, Rep.",2490
South Africa,12860
Zambia,3790
Zimbabwe,1920
